marketcap,volume,timestamp,name,symbol,slug
466934170135.17035,52018751754.36042,,,,dogecoin
101381074272.82687,4392656297.297935,,,,dogecoin
64538730791.89946,27238704823.46822,,,,dogecoin
55795362812.77694,162927017301.84094,,,,dogecoin
55580393492.78384,7075537750.299573,,,,dogecoin
54671183519.00901,8064942441.018638,,,,dogecoin
37117326722.60037,2381851607.164854,,,,dogecoin
27070646550.024002,7375326054.641679,,,,dogecoin
25659995740.74873,11490616263.42628,,,,dogecoin
20975485560.13515,3085866393.110132,,,,dogecoin
20615572057.163265,641758980.2916243,,,,dogecoin
16897799235.887249,4494441480.21667,,,,dogecoin
14382240741.817444,2494385674.3730154,,,,dogecoin
14264912536.664877,2110101187.1090434,,,,dogecoin
13675631308.952553,13091332598.413498,,,,dogecoin
12050560640.581993,396689663.34943205,,,,dogecoin
12050439999.18832,9550963068.904085,,,,dogecoin
11529078657.35703,354102571.2903244,,,,dogecoin
10165170493.631905,3559512607.060017,,,,dogecoin
9994246021.631067,283262836.8258186,,,,dogecoin
10008986986.817421,986016837.6331116,,,,dogecoin
9568228985.24793,6950211525.516094,,,,dogecoin
8408443123.645745,615618583.5831556,,,,dogecoin
8203959232.898095,1478163002.383262,,,,dogecoin
7799613620.754869,8782125390.634129,,,,dogecoin
6601590050.94691,460496647.51888734,,,,dogecoin
6560398745.044624,1824043747.4553757,,,,dogecoin
6326713209.311877,429662554.19584274,,,,dogecoin
6053677775.58322,195865005.99694893,,,,dogecoin
5841901499.814023,814644975.7455525,,,,dogecoin
5785938092.49432,109860848.41000652,,,,dogecoin
5778597317.645634,381411872.21600175,,,,dogecoin
5347940314.424069,350275910.0211909,,,,dogecoin
5181326299.520671,321177467.6369935,,,,dogecoin
5153007396.035365,1494294864.9598,,,,dogecoin
5121863195.881598,57036181.89378007,,,,dogecoin
5046500043.67912,369080485.4762549,,,,dogecoin
4705609904.489036,517819451.17503875,,,,dogecoin
4701629564.653018,2061048149.9521098,,,,dogecoin
4590998446.694672,1532881520.3008559,,,,dogecoin
4532788018.462711,109003356.50906597,,,,dogecoin
4453050994.498135,241364936.96907362,,,,dogecoin
4153552894.102049,1222795168.714254,,,,dogecoin
4118501658.564442,108138542.91188186,,,,dogecoin
3954244776.1947217,224369101.7244379,,,,dogecoin
3691318615.4351854,192131317.27543086,,,,dogecoin
3595176373.231509,358293858.06693363,,,,dogecoin
3548735384.943502,953141249.4492608,,,,dogecoin
3347286698.9067793,204708925.18957132,,,,dogecoin
3189684718.6183667,73418297.50651774,,,,dogecoin
3148426297.6259775,184457450.47044328,,,,dogecoin
3073958017.946327,1939407.275924,,,,dogecoin
2812561356.805537,36269120.44606295,,,,dogecoin
2669994948.930002,346664697.4521099,,,,dogecoin
2643814405.6530614,425419150.411839,,,,dogecoin
2582067473.1871514,180651425.22739786,,,,dogecoin
2532737267.4481664,1422093278.6643248,,,,dogecoin
2355028238.4830484,312317323.1136952,,,,dogecoin
2354298069.3445854,260894594.17577997,,,,dogecoin
2272624498.671368,242096019.77494293,,,,dogecoin
2196327114.651496,9624625.8726399,,,,dogecoin
2168713601.9601483,88534643.95885135,,,,dogecoin
2124175740.0221038,510689237.1034167,,,,dogecoin
2109567674.4398289,423360820.1938019,,,,dogecoin
2090033289.1071994,25652803.98708337,,,,dogecoin
2075650299.5343904,1006700983.8673933,,,,dogecoin
2053682587.902881,48435278.42642944,,,,dogecoin
2013784516.5691607,98155250.30479318,,,,dogecoin
2017918077.6118815,365181640.49238706,,,,dogecoin
2013454785.5708244,112300622.48873642,,,,dogecoin
2009731829.690883,515123665.67111856,,,,dogecoin
1997149542.5552592,163937501.63919982,,,,dogecoin
1995704505.5345712,1883842471.7953923,,,,dogecoin
1957680299.0671782,29158447.26460592,,,,dogecoin
1869245661.2929752,64436358.19761897,,,,dogecoin
1870105879.456251,179687593.24017966,,,,dogecoin
1796823825.5853941,164491883.3511294,,,,dogecoin
1764870593.6422102,7445105.04611538,,,,dogecoin
1707077038.286896,136698612.55799255,,,,dogecoin
1583696412.9678783,622653371.4203516,,,,dogecoin
1544857010.0848784,187010418.34390238,,,,dogecoin
1518490756.6762455,36838043.05236209,,,,dogecoin
1502535868.080719,92350021.38271292,,,,dogecoin
1476109610.3078969,247027659.92627996,,,,dogecoin
1462219448.4666328,28317003.31134208,,,,dogecoin
1436474505.416981,98164480.47216356,,,,dogecoin
